datetime,tempmax,tempmin,humidity,precip,preciptype,windspeed,visibility,conditions,cars
6/11/2022,78.1,62,61.1,0,,9.1,9.9,Partially cloudy,502
6/12/2022,80.9,65.9,76.7,0.63,rain,17.1,8.6,"Rain, Overcast",261
6/13/2022,92,68,73,0,,9.1,6.3,Partially cloudy,562
6/14/2022,89.1,68,76.7,0.86,rain,11.4,9.4,"Rain, Partially cloudy",323
6/15/2022,94.9,73.1,68.9,0,,12.7,7.6,Clear,73
6/16/2022,93.8,77,68.9,0.08,rain,16.1,9.7,"Rain, Partially cloudy",809
6/17/2022,87.2,71,57.1,0,,15,9.7,Clear,115
6/18/2022,74.9,57.8,42.4,0,,16.1,9.9,Clear,452
6/19/2022,79,48.8,51.8,0,,7,9.9,Clear,173
6/20/2022,79,57.8,63.6,0,,9.1,9.9,Partially cloudy,908
6/21/2022,93.8,59,58.1,0,,12.7,9.6,Clear,345
6/22/2022,96.1,70.1,54.6,0,,11.4,9.9,Clear,159
6/23/2022,84.8,64.7,51.6,0,,10.8,9.9,Clear,1059
6/24/2022,86,54.7,57.5,0,,5.8,9.9,Clear,617
6/25/2022,89,56.9,58.3,0,,6.9,9.7,Clear,525
6/26/2022,89.8,73.1,70.9,0.13,rain,12.7,9.4,"Rain, Partially cloudy",781
6/27/2022,79,59,49.2,0,,12.7,9.9,Clear,310
6/28/2022,80.9,54,52.8,0,,9.1,9.9,Clear,1153
6/29/2022,86,53.1,55.8,0,,7.9,9.6,Clear,512
6/30/2022,89.9,57,55.3,0,,10.3,9.9,Clear,1008
7/1/2022,93.8,69.2,65,0.13,rain,16,9.7,"Rain, Partially cloudy",980
